CHJO 500 A1 SA.B500EAST_____1VP.VM,CHJO 500 A1 SA.B500EAST_____1VP.VA,CHJO 500 A1 SA.B500EAST_____1VA.VM,CHJO 500 A1 SA.B500EAST_____1VA.VA,CHJO 500 A1 SA.B500EAST_____1VB.VM,CHJO 500 A1 SA.B500EAST_____1VB.VA,CHJO 500 A1 SA.B500EAST_____1VC.VM,CHJO 500 A1 SA.B500EAST_____1VC.VA,CHJO 500 A1 SA.B500WEST_____1VP.VM,CHJO 500 A1 SA.B500WEST_____1VP.VA,CHJO 500 A1 SA.B500WEST_____1VA.VM,CHJO 500 A1 SA.B500WEST_____1VA.VA,CHJO 500 A1 SA.B500WEST_____1VB.VM,CHJO 500 A1 SA.B500WEST_____1VB.VA,CHJO 500 A1 SA.B500WEST_____1VC.VM,CHJO 500 A1 SA.B500WEST_____1VC.VA,CHJO 500 A1 SA.T500BANK3____1IP.IM,CHJO 500 A1 SA.T500BANK3____1IP.IA,CHJO 500 A1 SA.L500G_COULEE_3IP.IM,CHJO 500 A1 SA.L500G_COULEE_3IP.IA,CHJO 500 A1 SA.L500CHFJO_PH_5IP.IM,CHJO 500 A1 SA.L500CHFJO_PH_5IP.IA,CHJO 500 A1 SA.L500SICKLER__1IP.IM,CHJO 500 A1 SA.L500SICKLER__1IP.IA,CHJO 500 A1 SA.L500CHFJO_PH_6IP.IM,CHJO 500 A1 SA.L500CHFJO_PH_6IP.IA,CHJO 500 A1 SA.L500MONROE___1IP.IM,CHJO 500 A1 SA.L500MONROE___1IP.IA
312665.6563,77.28665038,312104.75,77.40538639,313473.2813,-42.74729217,312420,-162.7935017,312686.75,77.28155506,312435.5,77.34119627,313503.5313,-42.72358458,312121.4688,-162.7685032,471.2761841,-72.74149417,135.7398987,-135.2111215,200.7122345,-100.1256692,451.4420776,90.78729109,597.6576538,-98.37378711,887.5615845,83.94952041
312662.75,77.04921935,312102.9688,77.16739528,313471.25,-42.98530035,312415.0938,-163.0303454,312684.7813,77.04393961,312432.6875,77.10358082,313502.4688,-42.96165765,312119.4063,-163.0062075,471.274231,-72.98287989,135.6921692,-135.5413338,200.7462006,-100.3506419,451.494751,90.54149307,597.6424561,-98.60571301,887.4857788,83.70979443
312663.0938,76.81084575,312099.9063,76.92896704,313473.8438,-43.22464726,312416.5938,-163.2683501,312686.9063,76.80517669,312432.5938,76.86511843,313505.5313,-43.20149292,312122.9375,-163.244868,471.3147278,-73.22610292,135.6992035,-135.91097,200.7729187,-100.5835309,451.5162964,90.30712879,597.675293,-98.83806238,887.4370117,83.46782132
312666.3438,76.57251995,312098.8125,76.69097593,313479.25,-43.46421614,312422.0625,-163.5065871,312690.7813,76.56674844,312434.2813,76.62685411,313509.3125,-43.44117791,312128.9688,-163.482982,471.3535461,-73.467072,135.619339,-136.2737623,200.7990417,-100.8205726,451.4377747,90.08297564,597.7260132,-99.06804851,887.2589111,83.23043809
312668.2188,76.33436492,312099.4375,76.4531624,313482.625,-43.70352548,312423.625,-163.7448651,312692.2813,76.32888711,312435.6563,76.38882202,313509.75,-43.67997157,312131.7188,-163.7206863,471.3240051,-73.69545986,135.5003662,-136.6435624,200.8599396,-101.0520955,451.370636,89.84916461,597.7487183,-99.29842397,886.9661255,82.99629921
312668.0625,76.09651724,312102.375,76.21529423,313481.8125,-43.94209716,312421.0313,-163.9830748,312691.375,76.09130581,312437.4375,76.15082408,313507.0625,-43.91816417,312129.9688,-163.9583359,471.2618103,-73.91888901,135.4295959,-137.0331974,200.9404144,-101.2776352,451.3405457,89.60309338,597.7279663,-99.53066406,886.723999,82.76494021
312668.75,75.85869005,312105.7813,75.97709138,313481.2813,-44.1807508,312420.25,-164.2209976,312690.8438,75.85358107,312439.2188,75.91260757,313506.4688,-44.15688953,312127.1875,-164.1958352,471.2192993,-74.15061001,135.3827972,-137.3809223,201.0080566,-101.5043087,451.297821,89.36123638,597.6630859,-99.75919536,886.5966797,82.53559612
312670.4063,75.62056234,312107.4375,75.73890903,313482.6875,-44.42048702,312422.0938,-164.4589341,312692.0625,75.61549434,312440.7813,75.67440472,313509.5938,-44.39666674,312126.0313,-164.4335804,471.1503601,-74.38679112,135.3334961,-137.6454965,201.0158234,-101.7325736,451.26474,89.1281835,597.59729,-99.98276111,886.5770264,82.30086301
312672.5938,75.38260538,312109.8438,75.50130724,313485.5938,-44.6605511,312423.5625,-164.6968432,312695.1875,75.3774964,312444.125,75.4367278,313514.0625,-44.63639955,312127.5313,-164.6718447,471.0472717,-74.62189989,135.2759247,-137.8579564,200.9555664,-101.9558798,451.2389526,88.89607318,597.5564575,-100.2082803,886.5397339,82.05890356
312673.8125,75.14533827,312110.5625,75.26432699,313488.8125,-44.89974091,312422.9375,-164.9343972,312696.8125,75.14009268,312443.9063,75.19948801,313516.25,-44.87498488,312130.4688,-164.9101091,470.975647,-74.85607976,135.1698303,-138.0713178,200.879837,-102.1780932,451.1421509,88.66226214,597.5053101,-100.4402403,886.3798828,81.81503165
312673.1563,74.90842633,312107.375,75.02743554,313490.125,-45.11453669,312423,-165.1715141,312696.0938,74.90299633,312438.6563,74.96229603,313515.9063,-45.08956894,312133.9063,-165.1476904,470.9342651,-75.08932389,135.0612335,-138.3156747,200.8492889,-102.4074168,451.0348511,88.42670258,597.435791,-100.6756906,886.1411133,81.57387816
312673.1563,74.67113872,312105.4063,74.79025722,313489.5625,-45.35377432,312425.4375,-165.4088631,312695.8438,74.66571555,312436.6875,74.72494012,313514.7813,-45.32904903,312136.375,-165.3846023,470.8664551,-75.32638609,135.0703278,-138.5858906,200.8603516,-102.642628,451.0373535,88.18531003,597.4000244,-100.9105535,886.0083618,81.33493766
312673.4375,74.43355742,312105.75,74.55267592,313488.2188,-45.59293339,312427.375,-165.6465264,312696.625,74.4285304,312439.4688,74.48757739,313515.3438,-45.56826616,312135.3125,-165.621282,470.7727051,-75.57161037,135.2183228,-138.8361624,200.8638763,-102.8782354,451.0726318,87.94124688,597.3867798,-101.1446309,886.0314941,81.09959666
312670.5625,74.19612639,312101.8125,74.31516975,313486.4063,-45.83145726,312424.5313,-165.8842306,312694.0938,74.19165261,312438,74.25050152,313516.2813,-45.80649291,312128.25,-165.8580983,470.6858826,-75.81786601,135.41362,-139.062392,200.8717041,-103.1176813,451.0238342,87.70328309,597.3662109,-101.3801632,886.0409546,80.86697407
